Invoice Date,Invoice Amount
9/4/2019,"$18,464.64"
9/19/2019,"$28,139.52"
9/23/2019,"$8,655.30"
9/27/2019,$288.00
10/1/2019,$901.92
10/3/2019,"$18,466.56"
10/7/2019,$576.00
10/15/2019,"$6,018.16"
10/24/2019,"$33,301.18"
10/25/2019,"$18,237.56"
10/28/2019,"$15,420.86"
10/29/2019,"$3,265.12"
10/30/2019,"$12,281.50"
11/5/2019,"$59,377.32"
11/12/2019,"$3,407.52"
11/14/2019,"$3,718.96"
11/17/2019,"$66,081.46"
11/18/2019,"$66,634.42"
11/19/2019,"$9,504.00"
11/25/2019,"$3,542.00"
12/12/2019,$512.96
12/23/2019,"$4,364.74"
12/26/2019,"$3,293.02"
12/30/2019,"$23,081.48"
1/2/2020,"$12,342.00"
1/3/2020,"$21,046.84"
1/6/2020,"$6,065.18"
1/9/2020,"$7,657.58"
1/10/2020,"$23,325.50"
1/11/2020,"$3,407.52"
1/13/2020,"$3,487.00"
1/14/2020,"$18,057.60"
1/17/2020,"$11,786.26"
1/20/2020,"$2,495.20"
1/21/2020,"$4,043.52"
1/22/2020,"$16,872.72"
1/24/2020,"$164,504.20"
1/26/2020,"$214,263.56"
1/27/2020,"$20,243.68"
2/1/2020,"$1,572.48"
2/3/2020,"$2,816.00"
2/4/2020,"$5,239.52"
2/9/2020,"$10,327.90"
2/10/2020,"$10,646.32"
2/11/2020,"$4,971.20"
2/14/2020,"$16,900.20"
2/18/2020,"$5,560.50"
2/20/2020,"$5,537.22"
2/22/2020,"$11,199.24"
2/23/2020,$524.16
2/24/2020,"$15,574.71"
2/25/2020,"$13,195.92"
2/26/2020,"$27,440.86"
2/27/2020,"$5,171.40"
2/29/2020,"$7,012.44"
3/2/2020,"$44,306.58"
3/3/2020,"$10,011.88"
3/4/2020,"$45,353.88"
3/5/2020,"$18,225.29"
3/7/2020,"$20,741.43"
3/9/2020,"$29,258.94"
3/12/2020,"$5,915.52"
3/16/2020,"$49,879.44"
3/18/2020,"$155,827.08"
3/20/2020,"$25,751.28"
3/21/2020,"$18,233.28"
3/24/2020,"$34,630.96"
3/25/2020,"$34,519.68"
3/28/2020,"$5,358.60"
3/29/2020,"$15,489.88"
4/1/2020,"$2,332.00"
4/5/2020,"$6,512.00"
4/6/2020,"$29,048.43"
4/11/2020,"$8,008.00"
4/12/2020,"$6,491.16"
4/13/2020,"$15,300.50"
4/14/2020,"$81,781.90"
4/15/2020,"$54,372.16"
4/19/2020,"$52,248.56"
4/20/2020,"$13,080.60"
4/22/2020,"$52,000.86"
4/25/2020,"$5,208.00"
4/27/2020,"$11,526.00"
4/30/2020,"$6,019.20"
5/2/2020,"$20,264.40"
5/4/2020,"$20,964.60"
5/6/2020,"$3,392.64"
5/8/2020,"$79,960.66"
5/9/2020,"$45,277.96"
5/11/2020,"$54,539.42"
5/12/2020,"$24,619.90"
5/13/2020,"$65,821.54"
5/15/2020,"$34,566.46"
5/19/2020,"$62,892.65"
5/21/2020,"$39,269.80"
5/27/2020,"$37,103.76"
5/29/2020,"$17,867.96"
6/1/2020,"$63,916.30"
6/2/2020,"$19,119.68"
6/3/2020,$716.04
6/5/2020,"$24,846.12"
6/6/2020,"$41,417.62"
6/10/2020,"$71,107.92"
6/11/2020,"$10,866.99"
6/12/2020,"$47,520.34"
6/14/2020,"$3,692.52"
6/15/2020,"$58,875.11"
6/16/2020,"$63,172.22"
6/17/2020,"$10,858.28"
6/19/2020,"$27,817.54"
6/23/2020,"$4,642.56"
6/26/2020,"$30,514.92"
6/29/2020,"$3,369.60"
6/30/2020,"$15,589.46"
7/1/2020,"$10,595.52"
7/5/2020,"$4,379.13"
7/6/2020,$132.40
7/10/2020,"$3,217.06"
7/15/2020,"$64,863.60"
7/16/2020,"$46,707.82"
7/17/2020,"$25,172.68"
7/18/2020,"$12,317.00"
7/19/2020,"$13,432.36"
7/20/2020,"$22,616.84"
7/24/2020,"$6,682.80"
7/26/2020,"$4,806.36"
7/27/2020,"$122,759.05"
7/28/2020,"$57,535.03"
7/29/2020,"$13,328.64"
8/7/2020,"$12,665.34"
8/8/2020,"$12,669.31"
8/11/2020,"$20,386.21"
8/12/2020,"$6,283.33"
8/14/2020,"$33,649.69"
8/24/2020,"$11,656.24"
8/28/2020,"$82,342.18"
8/29/2020,"$13,693.68"
8/31/2020,"$111,797.53"
9/2/2020,"$15,416.09"
9/3/2020,"$22,181.11"
9/4/2020,"$12,299.14"
9/6/2020,"$4,676.25"
9/8/2020,"$12,320.88"
9/14/2020,"$68,674.92"
9/15/2020,"$6,114.11"
9/16/2020,"$71,633.26"
9/17/2020,"$98,034.15"
9/18/2020,$660.00
9/19/2020,"$12,650.37"
9/23/2020,"$11,400.08"
9/24/2020,"$60,839.61"
9/30/2020,"$18,932.38"
10/7/2020,"$3,678.57"
10/8/2020,"$1,771.00"
10/9/2020,"$1,478.88"
10/12/2020,"$18,085.28"
10/13/2020,"$57,330.34"
10/15/2020,"$54,774.25"
10/16/2020,"$26,606.14"
10/17/2020,"$11,591.72"
10/18/2020,"$4,413.24"
10/21/2020,"$1,113.75"
10/22/2020,"$62,268.30"
10/23/2020,"$88,139.01"
10/27/2020,"$4,520.88"
10/28/2020,"$5,399.13"
10/29/2020,"$16,665.34"
11/2/2020,"$44,001.61"
11/3/2020,"$24,186.24"
11/5/2020,"$149,397.75"
11/7/2020,"$54,291.49"
11/11/2020,"$8,540.60"
11/12/2020,"$37,843.48"
11/16/2020,"$1,385.64"
11/18/2020,"$3,481.92"
11/19/2020,"$16,142.40"
11/23/2020,"$3,072.00"
12/19/2020,"$47,979.24"
12/20/2020,"$18,270.72"
12/21/2020,"$24,650.35"
12/22/2020,"$27,807.79"
12/26/2020,"$36,354.29"
12/30/2020,"$134,221.12"
1/6/2021,"$39,697.98"
1/11/2021,"$1,545.75"
1/14/2021,"$62,833.49"
1/15/2021,"$23,755.90"
1/16/2021,"$64,198.85"
1/18/2021,"$83,212.17"
1/19/2021,"$13,993.24"
1/20/2021,"$18,237.15"
1/21/2021,$648.00
1/22/2021,"$5,859.36"
1/23/2021,"$29,462.63"
1/26/2021,"$62,078.81"
1/27/2021,"$8,208.00"
1/28/2021,"$6,730.56"
2/1/2021,"$1,890.00"
2/4/2021,"$1,008.00"
2/9/2021,"$5,953.79"
2/11/2021,"$1,451.25"
2/13/2021,"$33,804.16"
2/15/2021,"$1,323.00"
2/16/2021,"$39,720.17"
2/17/2021,"$17,666.74"
2/19/2021,"$134,885.26"
2/22/2021,"$35,457.31"
2/25/2021,"$31,173.89"
3/2/2021,"$1,702.68"
3/3/2021,"$1,397.25"
3/6/2021,"$12,003.40"
3/12/2021,"$7,106.52"
3/13/2021,"$38,975.31"
3/14/2021,"$9,023.75"
3/16/2021,"$13,441.77"
3/19/2021,"$8,957.66"
3/20/2021,"$18,323.78"
3/22/2021,"$123,926.00"
3/24/2021,"$8,386.24"
3/29/2021,"$1,899.66"
4/5/2021,"$3,072.00"
4/6/2021,"$29,243.64"
4/7/2021,"$36,036.92"
4/8/2021,"$44,798.19"
4/10/2021,"$29,664.51"
4/12/2021,"$16,381.65"
4/13/2021,"$2,941.19"
4/16/2021,"$5,669.09"
4/17/2021,"$32,606.67"
4/18/2021,"$13,175.25"
4/19/2021,"$148,330.20"
4/20/2021,"$15,800.33"
4/26/2021,"$39,572.61"
4/28/2021,$882.75
5/1/2021,$837.60
5/3/2021,$601.50
5/10/2021,"$2,096.06"
5/11/2021,"$2,116.75"
5/12/2021,"$12,355.20"
5/15/2021,"$25,434.03"
5/16/2021,"$58,053.52"
5/21/2021,"$66,796.98"
5/22/2021,"$13,270.57"
5/24/2021,"$89,254.09"
5/25/2021,$600.00
5/26/2021,"$12,654.72"
6/1/2021,"$13,216.38"
6/2/2021,$606.25
6/4/2021,"$1,176.59"
6/7/2021,"$1,893.15"
6/9/2021,"$3,472.27"
6/11/2021,"$30,415.10"
6/14/2021,"$25,132.82"
6/15/2021,"$91,554.07"
6/16/2021,"$1,255.50"
6/17/2021,"$36,246.04"
6/18/2021,"$25,906.12"
6/21/2021,"$96,301.79"
6/22/2021,$637.50
6/23/2021,"$5,220.92"
7/1/2021,$693.75
7/5/2021,"$33,659.08"
7/6/2021,"$32,052.40"
7/7/2021,"$25,923.40"
7/8/2021,"$12,390.11"
7/12/2021,"$49,012.78"
7/13/2021,"$18,195.45"
7/15/2021,"$17,234.26"
7/17/2021,"$9,545.14"
7/20/2021,"$183,986.84"
7/22/2021,"$1,889.16"
7/23/2021,"$31,710.21"
7/27/2021,"$11,611.58"
7/28/2021,"$13,400.57"
7/29/2021,"$39,561.04"
8/3/2021,"$33,572.88"
8/4/2021,"$13,526.00"
8/5/2021,$453.70
8/6/2021,"$2,479.86"
8/12/2021,$725.00
8/15/2021,"$40,094.50"
