Invoice Date,Invoice Amount
8/26/2019,"$30,464.55"
9/10/2019,"$53,854.28"
9/23/2019,"$57,848.06"
10/7/2019,"$52,271.15"
10/15/2019,"$2,058.45"
10/21/2019,"$53,117.67"
11/4/2019,"$56,360.44"
11/7/2019,$143.68
11/12/2019,$548.92
11/18/2019,"$53,567.69"
11/20/2019,"$16,748.25"
12/2/2019,"$40,751.31"
12/16/2019,"$48,850.15"
12/30/2019,"$46,262.90"
1/13/2020,"$46,812.60"
1/14/2020,"$1,235.07"
1/23/2020,$0.00
1/27/2020,"$57,181.04"
2/10/2020,"$63,149.45"
2/24/2020,"$59,469.69"
3/10/2020,"$60,847.75"
3/23/2020,"$55,718.43"
4/6/2020,"$50,093.84"
4/21/2020,"$53,189.51"
5/4/2020,"$55,934.53"
5/19/2020,"$58,215.63"
6/1/2020,"$63,839.02"
6/2/2020,$600.00
6/16/2020,"$66,099.52"
6/30/2020,"$59,613.60"
7/13/2020,"$68,788.52"
7/28/2020,"$70,107.46"
8/10/2020,"$70,168.54"
8/11/2020,"$1,957.74"
8/12/2020,$440.42
8/17/2020,$267.15
8/25/2020,"$77,125.95"
9/9/2020,"$81,247.34"
9/21/2020,"$81,053.28"
10/5/2020,"$74,119.55"
10/6/2020,"$3,746.29"
10/19/2020,"$75,566.50"
10/20/2020,"$1,055.57"
11/3/2020,"$80,614.25"
11/17/2020,"$95,000.22"
12/1/2020,"$94,741.70"
12/13/2020,"$100,681.21"
12/15/2020,"$2,806.38"
12/21/2020,$604.17
12/28/2020,"$91,776.18"
1/11/2021,"$81,885.61"
1/25/2021,"$102,736.55"
2/9/2021,"$100,476.35"
2/23/2021,"$90,587.96"
3/9/2021,"$94,816.39"
3/23/2021,"$91,144.52"
4/5/2021,"$95,222.92"
4/20/2021,"$87,248.86"
5/4/2021,"$88,209.70"
5/6/2021,"$2,377.50"
5/7/2021,"$4,468.62"
5/18/2021,"$82,078.62"
6/1/2021,"$82,404.84"
6/15/2021,"$78,575.33"
6/29/2021,"$79,238.49"
7/13/2021,"$82,412.89"
7/28/2021,"$90,037.73"
8/11/2021,"$91,680.46"
8/24/2021,"$94,080.54"
8/31/2021,$717.05
9/8/2021,"$89,642.48"
9/10/2021,"$1,207.85"
9/22/2021,"$88,628.02"
9/23/2021,$825.01
10/5/2021,"$92,707.93"
10/18/2021,"$93,378.42"
10/25/2021,$440.32
11/2/2021,"$103,986.73"
11/16/2021,"$115,961.31"
11/30/2021,"$115,610.71"
12/14/2021,"$122,760.73"
12/27/2021,"$125,749.83"
1/11/2022,"$103,088.05"
1/25/2022,"$103,709.94"
2/8/2022,"$113,276.37"
2/22/2022,"$122,254.86"
3/8/2022,"$124,377.94"
3/22/2022,"$123,780.95"
4/5/2022,"$112,987.53"
4/19/2022,"$108,234.88"
5/3/2022,"$104,972.88"
5/17/2022,"$104,505.60"
5/31/2022,"$105,103.13"
6/14/2022,"$93,178.59"
6/28/2022,"$103,212.99"
6/30/2022,$258.00
7/12/2022,"$100,117.17"
7/26/2022,"$98,686.49"
8/9/2022,"$98,166.16"
8/23/2022,"$97,728.26"
9/6/2022,"$94,812.21"
9/20/2022,"$107,734.32"
9/21/2022,$390.83
10/4/2022,"$110,076.86"
10/18/2022,"$111,277.76"
11/1/2022,"$109,538.39"
11/15/2022,"$110,340.22"
11/29/2022,"$109,618.39"
12/13/2022,"$111,456.69"
12/28/2022,"$109,778.99"
1/10/2023,"$108,473.76"
1/24/2023,"$107,733.46"
2/7/2023,"$102,905.79"
2/20/2023,"$105,648.26"
3/7/2023,"$106,475.38"
3/21/2023,"$103,450.23"
4/4/2023,"$107,386.20"
4/18/2023,"$105,634.75"
5/2/2023,"$114,089.97"
5/16/2023,"$117,857.18"
5/30/2023,"$115,850.27"
6/13/2023,"$119,359.09"
6/27/2023,"$121,594.83"
7/11/2023,"$130,239.61"
7/24/2023,"$110,266.11"
7/25/2023,"$19,945.93"
8/8/2023,"$126,781.01"
