Invoice Date,Invoice Amount
12/17/2019,"$11,424.60"
12/18/2019,"$15,120.35"
12/24/2019,"$14,060.80"
12/27/2019,"$7,749.65"
12/30/2019,$507.00
1/1/2020,"$14,114.75"
1/7/2020,"$30,715.03"
1/12/2020,"$17,131.10"
1/20/2020,"$30,738.75"
1/27/2020,"$22,564.50"
1/30/2020,$699.60
2/3/2020,"$10,763.85"
2/4/2020,"$11,332.20"
2/10/2020,"$22,713.50"
2/17/2020,"$10,518.00"
2/18/2020,"$11,906.70"
2/23/2020,$175.80
2/24/2020,"$22,745.84"
2/26/2020,$187.20
2/27/2020,$491.40
3/2/2020,"$22,287.45"
3/9/2020,"$21,247.15"
3/10/2020,$810.00
3/17/2020,"$14,072.30"
3/18/2020,"$2,041.40"
3/24/2020,"$14,158.90"
3/31/2020,"$10,564.40"
4/6/2020,"$12,893.50"
4/7/2020,$549.60
4/14/2020,"$12,833.40"
4/15/2020,$540.00
4/17/2020,$68.00
4/20/2020,"$13,933.65"
4/26/2020,"$10,397.60"
5/3/2020,$436.80
5/5/2020,"$9,555.20"
5/13/2020,"$13,316.90"
5/14/2020,"$3,205.80"
5/18/2020,"$14,024.00"
5/26/2020,"$17,444.90"
5/31/2020,"$17,636.10"
6/1/2020,"$1,185.60"
6/9/2020,"$19,783.06"
6/10/2020,$272.00
6/17/2020,"$20,801.35"
6/23/2020,"$19,695.64"
6/24/2020,$265.20
6/25/2020,$180.00
6/28/2020,"$20,406.62"
7/6/2020,"$7,779.91"
7/7/2020,"$5,129.63"
7/8/2020,$927.20
7/12/2020,"$18,559.10"
7/21/2020,"$23,502.10"
7/26/2020,"$21,356.10"
8/5/2020,"$16,972.59"
8/6/2020,"$55,651.50"
8/10/2020,"$17,976.80"
8/12/2020,"$5,422.50"
8/17/2020,"$16,892.50"
8/25/2020,"$17,269.10"
8/28/2020,$340.00
8/31/2020,"$12,364.20"
9/2/2020,"$4,342.50"
9/8/2020,"$16,885.62"
9/15/2020,$624.00
9/16/2020,"$16,506.90"
9/17/2020,"$1,642.40"
9/22/2020,"$17,890.89"
9/30/2020,"$16,608.22"
10/1/2020,$701.20
10/6/2020,"$18,260.33"
10/7/2020,$780.00
10/14/2020,"$18,444.10"
10/19/2020,"$8,157.20"
10/20/2020,"$10,171.50"
10/27/2020,"$14,114.40"
10/28/2020,"$5,656.30"
