Invoice Date,Invoice Amount
2019-08-26,30464.55
2019-09-05,53854.28
2019-09-15,57848.06
2019-09-25,0.0
2019-10-05,52271.15
2019-10-15,55176.119999999995
2019-10-25,0.0
2019-11-04,57053.04
2019-11-14,70315.94
2019-11-24,40751.31
2019-12-04,0.0
2019-12-14,48850.15
2019-12-24,46262.9
2020-01-03,0.0
2020-01-13,48047.67
2020-01-23,57181.04
2020-02-02,63149.45
2020-02-12,0.0
2020-02-22,59469.69
2020-03-03,60847.75
2020-03-13,0.0
2020-03-23,55718.43
2020-04-02,50093.84
2020-04-12,53189.51
2020-04-22,0.0
2020-05-02,55934.53
2020-05-12,58215.63
2020-05-22,0.0
2020-06-01,64439.02
2020-06-11,66099.52
2020-06-21,59613.6
2020-07-01,0.0
2020-07-11,68788.52
2020-07-21,70107.46
2020-07-31,0.0
2020-08-10,72833.84999999999
2020-08-20,77125.95
2020-08-30,0.0
2020-09-09,81247.34
2020-09-19,81053.28
2020-09-29,77865.84
2020-10-09,0.0
2020-10-19,76622.07
2020-10-29,80614.25
2020-11-08,95000.22
2020-11-18,0.0
2020-11-28,94741.7
2020-12-08,103487.59000000001
2020-12-18,604.17
2020-12-28,91776.18
2021-01-07,81885.61
2021-01-17,102736.55
2021-01-27,0.0
2021-02-06,100476.35
2021-02-16,90587.96
2021-02-26,0.0
2021-03-08,94816.39
2021-03-18,91144.52
2021-03-28,95222.92
2021-04-07,0.0
2021-04-17,87248.86
2021-04-27,90587.2
2021-05-07,4468.62
2021-05-17,82078.62
2021-05-27,82404.84
2021-06-06,78575.33
2021-06-16,0.0
2021-06-26,79238.49
2021-07-06,82412.89
2021-07-16,0.0
2021-07-26,90037.73
2021-08-05,91680.46
2021-08-15,94080.54
2021-08-25,717.05
2021-09-04,90850.33
2021-09-14,89453.03
2021-09-24,0.0
2021-10-04,92707.93
2021-10-14,93378.42
2021-10-24,104427.05
2021-11-03,0.0
2021-11-13,115961.31
2021-11-23,115610.71
2021-12-03,0.0
2021-12-13,122760.73
2021-12-23,125749.83
2022-01-02,103088.05
2022-01-12,0.0
2022-01-22,103709.94
2022-02-01,113276.37
2022-02-11,0.0
2022-02-21,122254.86
2022-03-03,124377.94
2022-03-13,123780.95
2022-03-23,0.0
2022-04-02,112987.53
2022-04-12,108234.88
2022-04-22,0.0
2022-05-02,104972.88
2022-05-12,104505.6
2022-05-22,105103.13
2022-06-01,0.0
2022-06-11,93178.59
2022-06-21,103470.99
2022-07-01,0.0
2022-07-11,100117.17
2022-07-21,98686.49
2022-07-31,98166.16
2022-08-10,0.0
2022-08-20,97728.26
2022-08-30,94812.21
2022-09-09,0.0
2022-09-19,108125.15000000001
2022-09-29,110076.86
2022-10-09,111277.76
2022-10-19,0.0
2022-10-29,109538.39
2022-11-08,110340.22
2022-11-18,0.0
2022-11-28,109618.39
2022-12-08,111456.69
2022-12-18,0.0
2022-12-28,109778.99
2023-01-07,108473.76
2023-01-17,107733.46
2023-01-27,0.0
2023-02-06,102905.79
2023-02-16,105648.26
2023-02-26,106475.38
2023-03-08,0.0
2023-03-18,103450.23
2023-03-28,107386.2
2023-04-07,0.0
2023-04-17,105634.75
2023-04-27,114089.97
2023-05-07,117857.18
2023-05-17,0.0
2023-05-27,115850.27
2023-06-06,119359.09
2023-06-16,0.0
2023-06-26,121594.83
2023-07-06,130239.61
2023-07-16,130212.04000000001
2023-07-26,0.0
2023-08-05,126781.01
