Invoice Date,Invoice Amount
2019-12-17,40605.75
2019-12-27,22371.4
2020-01-06,47846.13
2020-01-16,30738.75
2020-01-26,45360.15
2020-02-05,22713.5
2020-02-15,45346.34
2020-02-25,22966.05
2020-03-06,22057.15
2020-03-16,30272.6
2020-03-26,10564.4
2020-04-05,26276.5
2020-04-15,14541.65
2020-04-25,10834.4
2020-05-05,26077.9
2020-05-15,14024.0
2020-05-25,36266.6
2020-06-04,20055.06
2020-06-14,40496.99
2020-06-24,20851.82
2020-07-04,32395.839999999997
2020-07-14,23502.1
2020-07-24,21356.1
2020-08-03,96023.39
2020-08-13,16892.5
2020-08-23,29973.3
2020-09-02,21228.12
2020-09-12,18773.300000000003
2020-09-22,35200.31
2020-10-02,19040.33
2020-10-12,36772.8
2020-10-22,19770.7
2020-11-01,23667.7
2020-11-11,37852.7
2020-11-21,39878.350000000006
2020-12-01,18750.3
2020-12-11,18674.9
2020-12-21,38076.15
2020-12-31,14460.2
2021-01-10,16402.26
2021-01-20,27987.2
2021-01-30,28762.29
2021-02-09,13904.2
2021-02-19,13738.1
2021-03-01,27443.34
2021-03-11,12784.13
2021-03-21,27554.5
2021-03-31,15884.75
2021-04-10,31145.989999999998
2021-04-20,74090.23
2021-04-30,18570.1
2021-05-10,36702.2
2021-05-20,12191.7
2021-05-30,43013.69
2021-06-09,18290.4
2021-06-19,34510.8
2021-06-29,15730.7
2021-07-09,16063.9
2021-07-19,35225.5
2021-07-29,17968.88
2021-08-08,38033.8
2021-08-18,18803.22
2021-08-28,18499.5
2021-09-07,37364.8
2021-09-17,14671.0
2021-09-27,37941.1
2021-10-07,22505.3
2021-10-17,23149.0
2021-10-27,38759.3
2021-11-06,39175.0
2021-11-16,18481.7
2021-11-26,18569.1
2021-12-06,40440.4
2021-12-16,20353.1
2021-12-26,37222.600000000006
2022-01-05,16727.9
2022-01-15,18781.6
2022-01-25,27684.4
2022-02-04,17360.6
2022-02-14,33128.8
2022-02-24,15598.7
2022-03-06,34015.2
2022-03-16,19401.3
2022-03-26,18916.3
2022-04-05,42401.4
2022-04-15,9170.7
2022-04-25,58851.200000000004
2022-05-05,23027.3
2022-05-15,44482.6
2022-05-25,23380.6
2022-06-04,38800.399999999994
2022-06-14,25496.91
2022-06-24,21142.98
2022-07-04,42893.6
2022-07-14,19732.4
2022-07-24,20798.3
2022-08-03,40191.68
2022-08-13,39267.9
2022-08-23,20967.52
2022-09-02,21552.4
2022-09-12,45172.1
2022-09-22,22975.1
2022-10-02,19640.9
2022-10-12,48712.2
2022-10-22,24445.300000000003
2022-11-01,24166.1
2022-11-11,51242.69
2022-11-21,54673.100000000006
2022-12-01,0.0
2022-12-11,55753.600000000006
2022-12-21,52309.6
2022-12-31,45817.9
2023-01-10,6639.5
2023-01-20,49851.600000000006
2023-01-30,49800.6
2023-02-09,26281.9
2023-02-19,6433.5
2023-03-01,14833.0
2023-03-11,74162.6
2023-03-21,35003.3
2023-03-31,37783.2
2023-04-10,49384.4
2023-04-20,25728.3
2023-04-30,26789.3
2023-05-10,53904.0
2023-05-20,26858.3
2023-05-30,52858.0
2023-06-09,25750.699999999997
2023-06-19,50675.2
2023-06-29,24914.65
2023-07-09,26102.1
2023-07-19,50348.4
2023-07-29,48663.600000000006
2023-08-08,25806.5
2023-08-18,428.8
